               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.025406,            0.022628,           0.0039263,             0.97714,             0.17211,             0.28025,             0.18317,            0.032216,            0.011332,            0.007721,             0.07004,           0.0033289,           0.0033289
                   1,            0.027996,            0.023058,           0.0040123,             0.64628,             0.29269,             0.30746,             0.19506,            0.031434,            0.012179,           0.0076778,             0.03971,           0.0063324,           0.0063324
                   2,            0.030389,             0.02457,           0.0041522,             0.96719,             0.16698,             0.26204,             0.15842,             0.03716,            0.013153,           0.0093531,           0.0090507,            0.009006,            0.009006
                   3,            0.032502,            0.025641,            0.004502,             0.97791,             0.17079,             0.28859,              0.1835,            0.035651,            0.012702,           0.0082639,            0.008515,            0.008515,            0.008515
                   4,            0.031458,            0.025436,           0.0039673,             0.97983,             0.16958,             0.30008,             0.19758,            0.034613,            0.012221,           0.0079756,            0.008515,            0.008515,            0.008515
                   5,            0.030765,            0.024849,           0.0042803,             0.57577,             0.28295,             0.32015,             0.17785,            0.033287,            0.011984,           0.0073233,             0.00802,             0.00802,             0.00802
                   6,            0.029468,              0.0247,           0.0037648,             0.62051,             0.28588,             0.33297,             0.21662,            0.032986,            0.011841,           0.0068556,            0.007525,            0.007525,            0.007525
                   7,            0.029177,            0.024398,           0.0036784,             0.68837,             0.33507,             0.34805,             0.22753,            0.031971,            0.012041,            0.007105,             0.00703,             0.00703,             0.00703
                   8,            0.028599,            0.023646,           0.0034323,             0.70492,             0.30972,             0.33414,             0.21259,            0.032888,            0.011933,           0.0065595,            0.006535,            0.006535,            0.006535
                   9,            0.027821,            0.022829,           0.0034594,             0.84259,             0.22502,             0.33607,             0.21107,            0.032126,            0.011694,           0.0071299,             0.00604,             0.00604,             0.00604
                  10,            0.026927,            0.023166,           0.0033958,             0.75564,              0.2922,             0.34601,             0.23558,            0.031162,            0.011429,           0.0063557,            0.005545,            0.005545,            0.005545
                  11,            0.026753,            0.022391,           0.0031992,             0.85376,             0.29194,             0.36176,             0.24645,            0.030769,            0.011202,            0.006262,             0.00505,             0.00505,             0.00505
                  12,            0.026105,            0.022427,           0.0032117,              0.6846,             0.35649,             0.38452,             0.23095,            0.030975,            0.011319,           0.0060319,            0.004555,            0.004555,            0.004555
                  13,             0.02538,            0.021852,           0.0027879,             0.78451,             0.32174,             0.39584,             0.27844,            0.029752,            0.010965,           0.0058241,             0.00406,             0.00406,             0.00406
                  14,            0.025009,            0.021582,           0.0028361,             0.66215,             0.34442,             0.38448,              0.2684,            0.029541,            0.011276,           0.0060494,            0.003565,            0.003565,            0.003565
                  15,            0.024223,            0.021366,           0.0028458,             0.67471,             0.37582,             0.37571,              0.2617,            0.030872,            0.010715,           0.0058386,             0.00307,             0.00307,             0.00307
                  16,            0.024028,            0.020841,           0.0027518,             0.85168,             0.29361,             0.39094,             0.26623,            0.029374,            0.010851,           0.0055602,            0.002575,            0.002575,            0.002575
                  17,            0.023077,            0.020676,           0.0025346,             0.65975,             0.38314,              0.4088,              0.2967,            0.029158,            0.010572,           0.0057764,             0.00208,             0.00208,             0.00208
                  18,            0.022203,            0.020106,             0.00247,             0.64878,             0.37879,             0.41039,             0.28879,            0.029695,            0.010629,            0.005754,            0.001585,            0.001585,            0.001585
                  19,            0.022321,            0.020173,           0.0024134,             0.66015,             0.40571,             0.42354,             0.31623,            0.029096,            0.010704,           0.0056028,             0.00109,             0.00109,             0.00109
