               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086043,            0.043831,            0.048399,             0.50203,            0.014988,            0.001583,          0.00041628,            0.079716,            0.019046,            0.028846,            0.070041,           0.0033288,           0.0033288
                   1,            0.070699,            0.040255,            0.014998,             0.66417,            0.092651,            0.088154,             0.03638,            0.062862,            0.017484,            0.012434,            0.039821,           0.0064423,           0.0064423
                   2,            0.058713,            0.037964,           0.0098833,             0.34205,             0.44114,             0.43877,             0.17634,             0.05461,            0.018022,           0.0081968,            0.009381,           0.0093358,           0.0093358
                   3,             0.05073,            0.035652,           0.0077789,             0.58638,             0.50283,             0.50595,              0.2761,            0.048963,            0.016143,           0.0059804,             0.00901,             0.00901,             0.00901
                   4,            0.045506,            0.033576,           0.0063776,             0.68155,             0.70997,             0.76429,             0.47656,            0.045561,            0.014666,           0.0086025,             0.00901,             0.00901,             0.00901
                   5,            0.042503,            0.031818,           0.0056854,             0.64139,             0.70194,              0.7326,             0.43782,            0.043542,            0.014578,           0.0045378,             0.00868,             0.00868,             0.00868
                   6,            0.039993,            0.031629,           0.0050467,             0.84246,             0.70993,             0.82277,             0.51867,            0.038609,            0.013351,           0.0035965,             0.00835,             0.00835,             0.00835
                   7,            0.038828,            0.030694,           0.0045466,              0.7519,              0.8166,             0.83704,             0.55462,            0.038444,            0.012896,            0.002401,             0.00802,             0.00802,             0.00802
                   8,            0.037283,            0.029236,            0.004496,             0.82593,             0.82554,             0.86524,             0.48931,              0.0386,            0.012673,           0.0029804,             0.00769,             0.00769,             0.00769
                   9,             0.03589,            0.028806,           0.0040019,             0.81552,             0.82069,             0.86806,             0.58257,            0.038251,             0.01225,           0.0028546,             0.00736,             0.00736,             0.00736
                  10,             0.03499,             0.02814,             0.00378,             0.83756,             0.84086,             0.87209,             0.56301,            0.037913,            0.012145,           0.0026985,             0.00703,             0.00703,             0.00703
                  11,            0.033833,            0.027655,           0.0034877,             0.83682,              0.8283,             0.89071,             0.61405,            0.035875,            0.011649,           0.0017365,              0.0067,              0.0067,              0.0067
                  12,             0.03299,             0.02695,           0.0035308,             0.80963,             0.83968,             0.88354,             0.64193,            0.036133,            0.012071,           0.0018334,             0.00637,             0.00637,             0.00637
                  13,             0.03063,            0.025673,           0.0027742,             0.86387,              0.8652,             0.90027,             0.67688,            0.034901,            0.011374,           0.0017797,             0.00604,             0.00604,             0.00604
                  14,            0.029867,            0.024882,           0.0027202,              0.8505,             0.86024,             0.88687,             0.63168,            0.035834,            0.011666,           0.0016323,             0.00571,             0.00571,             0.00571
                  15,            0.031051,            0.025953,           0.0030005,             0.84443,             0.84226,             0.90055,              0.6475,            0.033722,             0.01125,           0.0014756,             0.00538,             0.00538,             0.00538
                  16,            0.030433,            0.025608,           0.0029177,             0.83234,             0.86212,             0.90175,             0.66492,            0.033798,            0.011156,           0.0011715,             0.00505,             0.00505,             0.00505
                  17,            0.029649,            0.025218,           0.0027318,               0.873,             0.86462,             0.91109,             0.62434,            0.032772,            0.011303,            0.001261,             0.00472,             0.00472,             0.00472
                  18,            0.029221,             0.02442,           0.0026417,              0.8959,             0.87932,             0.91997,             0.66092,            0.032586,            0.010986,          0.00092319,             0.00439,             0.00439,             0.00439
                  19,            0.028435,            0.024625,           0.0025303,             0.88708,             0.86106,             0.92558,             0.67771,            0.031681,            0.010899,           0.0008602,             0.00406,             0.00406,             0.00406
                  20,            0.027885,             0.02414,           0.0023214,             0.86317,             0.87247,             0.91506,             0.68708,            0.032781,            0.010782,          0.00085853,             0.00373,             0.00373,             0.00373
                  21,            0.027413,            0.023458,            0.002364,              0.8845,             0.86398,             0.91921,             0.66228,             0.03311,            0.010878,          0.00093488,              0.0034,              0.0034,              0.0034
                  22,            0.026655,            0.023183,           0.0022275,             0.90581,             0.80562,             0.92451,             0.68142,            0.032371,            0.010451,          0.00075264,             0.00307,             0.00307,             0.00307
                  23,            0.026139,            0.022765,           0.0020852,             0.89144,             0.86499,             0.93119,             0.70507,            0.031989,            0.010445,          0.00071164,             0.00274,             0.00274,             0.00274
                  24,            0.026193,            0.022702,           0.0022217,             0.87785,             0.87881,             0.92445,             0.69711,            0.032904,            0.010539,           0.0007995,             0.00241,             0.00241,             0.00241
                  25,            0.025383,            0.022873,           0.0020595,             0.89098,              0.8608,             0.92725,             0.68676,             0.03176,            0.010563,          0.00092971,             0.00208,             0.00208,             0.00208
                  26,            0.025337,            0.022392,           0.0020328,             0.90251,             0.87957,             0.93076,             0.70447,             0.03206,             0.01037,           0.0009452,             0.00175,             0.00175,             0.00175
                  27,            0.024736,            0.022296,           0.0019774,             0.88403,             0.83772,              0.9329,             0.70142,            0.031794,            0.010347,          0.00076194,             0.00142,             0.00142,             0.00142
                  28,            0.024434,            0.021745,           0.0018117,             0.89734,             0.85755,             0.93226,             0.72421,            0.031753,            0.010273,          0.00069527,             0.00109,             0.00109,             0.00109
                  29,            0.024133,            0.021533,           0.0018531,             0.88219,             0.89095,             0.93411,             0.70953,            0.031854,            0.010246,           0.0006601,             0.00076,             0.00076,             0.00076
