               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.02673,            0.017771,           0.0078375,             0.88432,             0.80481,             0.89128,             0.64584,            0.027596,           0.0085576,            0.008948,            0.070024,           0.0033307,           0.0033307
                   1,            0.029225,            0.018465,            0.006092,             0.88239,             0.87668,             0.93355,             0.65429,            0.029356,           0.0089148,            0.006941,            0.039694,           0.0063341,           0.0063341
                   2,            0.032436,            0.019286,           0.0062535,             0.88663,             0.88845,             0.94022,             0.63732,            0.032408,           0.0098718,           0.0068992,           0.0090341,           0.0090076,           0.0090076
                   3,             0.03404,            0.020184,           0.0058817,             0.92811,             0.92534,             0.96116,             0.67437,            0.030955,           0.0096359,           0.0057465,            0.008515,            0.008515,            0.008515
                   4,            0.032916,            0.019783,           0.0052172,             0.92399,             0.92901,             0.96083,             0.68205,            0.029652,           0.0093843,           0.0054588,            0.008515,            0.008515,            0.008515
                   5,            0.032098,            0.019473,           0.0045997,             0.93474,             0.93473,              0.9675,             0.68781,            0.028974,            0.008763,            0.004028,             0.00802,             0.00802,             0.00802
                   6,             0.03077,            0.018902,           0.0041651,             0.94215,             0.94823,             0.96982,             0.68045,            0.028894,           0.0088389,            0.002877,            0.007525,            0.007525,            0.007525
                   7,            0.030223,            0.018863,           0.0038307,             0.95004,              0.9549,             0.97279,             0.72411,            0.027525,           0.0085455,           0.0022923,             0.00703,             0.00703,             0.00703
                   8,            0.029458,            0.018129,           0.0036696,             0.94174,             0.94345,             0.97262,             0.71983,            0.027374,           0.0086184,           0.0027105,            0.006535,            0.006535,            0.006535
                   9,            0.028653,            0.017918,           0.0033035,             0.95637,             0.95758,             0.97439,             0.73682,            0.026212,           0.0085432,           0.0024453,             0.00604,             0.00604,             0.00604
                  10,             0.02794,            0.017561,           0.0031678,             0.95651,             0.95713,             0.97783,             0.74151,            0.026412,           0.0082165,           0.0016578,            0.005545,            0.005545,            0.005545
                  11,            0.027253,            0.017379,           0.0029085,             0.96172,             0.96298,             0.97595,             0.76043,            0.025787,           0.0083599,            0.002165,             0.00505,             0.00505,             0.00505
                  12,            0.026846,            0.017101,           0.0027287,             0.96019,             0.96394,             0.97876,             0.76008,            0.025248,           0.0079398,            0.001663,            0.004555,            0.004555,            0.004555
