               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086936,            0.037304,            0.056668,           0.0031336,            0.042584,            0.001956,          0.00068855,            0.076704,            0.017092,            0.045485,            0.070028,           0.0033303,           0.0033303
                   1,            0.069092,            0.033982,            0.024907,             0.66116,             0.24183,               0.265,             0.09323,            0.056127,            0.016801,            0.021348,            0.039698,           0.0063338,           0.0063338
                   2,            0.057126,            0.030536,               0.015,             0.78928,             0.36353,             0.44908,             0.19852,            0.052583,            0.014589,            0.014949,           0.0090379,           0.0090072,           0.0090072
                   3,            0.049378,            0.028377,            0.010701,              0.8027,             0.54309,             0.63572,             0.34938,            0.042617,            0.013207,            0.010053,            0.008515,            0.008515,            0.008515
                   4,            0.044883,            0.026478,           0.0084891,             0.89522,             0.59097,             0.66013,             0.39947,            0.040066,            0.013186,           0.0096522,            0.008515,            0.008515,            0.008515
                   5,            0.041309,            0.025256,           0.0071073,             0.93595,             0.61178,             0.68975,             0.42313,            0.038594,             0.01166,           0.0076668,             0.00802,             0.00802,             0.00802
                   6,             0.03921,            0.024933,           0.0060595,             0.88534,             0.63514,             0.68201,             0.40112,             0.03716,            0.012023,           0.0069971,            0.007525,            0.007525,            0.007525
                   7,            0.037127,            0.023878,           0.0053234,             0.92892,             0.62703,             0.72575,             0.47281,            0.033078,            0.011173,           0.0059737,             0.00703,             0.00703,             0.00703
                   8,            0.035662,            0.023425,           0.0052065,             0.94508,             0.63942,             0.74403,             0.50348,            0.032151,            0.010817,           0.0055311,            0.006535,            0.006535,            0.006535
                   9,            0.034495,            0.022599,           0.0047146,             0.93633,             0.64311,             0.73944,             0.49519,            0.032329,            0.010675,            0.006015,             0.00604,             0.00604,             0.00604
                  10,            0.033664,            0.022131,           0.0044075,             0.94704,              0.6443,             0.74874,             0.55334,             0.03081,            0.010499,           0.0060169,            0.005545,            0.005545,            0.005545
                  11,            0.032374,            0.021583,           0.0043414,             0.77507,             0.70885,             0.76164,             0.55142,            0.031062,            0.010234,           0.0061294,             0.00505,             0.00505,             0.00505
                  12,            0.031413,            0.021201,           0.0038018,             0.71782,             0.73546,             0.77951,             0.58015,            0.029903,            0.010058,           0.0049678,            0.004555,            0.004555,            0.004555
                  13,            0.030509,            0.020771,             0.00362,             0.74139,             0.71922,             0.78316,             0.57693,            0.029529,           0.0097953,           0.0050069,             0.00406,             0.00406,             0.00406
                  14,             0.02978,            0.020519,           0.0033262,             0.75012,             0.73774,              0.7972,             0.60606,            0.028723,           0.0098011,           0.0048994,            0.003565,            0.003565,            0.003565
                  15,             0.02893,            0.020249,           0.0032714,             0.83573,             0.72828,              0.8236,             0.62996,            0.028714,           0.0095571,           0.0042629,             0.00307,             0.00307,             0.00307
                  16,            0.028137,            0.019651,           0.0030107,             0.75803,             0.78132,             0.83945,             0.64006,            0.028574,           0.0094186,           0.0038175,            0.002575,            0.002575,            0.002575
                  17,            0.027474,            0.019354,           0.0029818,             0.82316,             0.77262,             0.80921,              0.6198,            0.028342,           0.0093278,           0.0041634,             0.00208,             0.00208,             0.00208
                  18,            0.026798,            0.019075,           0.0025399,             0.76669,             0.79589,             0.81958,             0.62981,            0.028192,           0.0093061,           0.0041359,            0.001585,            0.001585,            0.001585
                  19,            0.025818,            0.018719,           0.0024474,             0.81762,             0.78149,              0.8171,             0.64015,            0.027787,           0.0091742,            0.003931,             0.00109,             0.00109,             0.00109
