               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.023214,            0.015719,           0.0017882,             0.96658,             0.96311,             0.97803,             0.74957,            0.025388,           0.0080663,           0.0013229,            0.070024,           0.0033307,           0.0033307
                   1,            0.025322,            0.016478,           0.0021416,             0.92445,             0.95408,             0.96237,             0.72111,            0.026846,            0.008708,           0.0026984,            0.039364,           0.0060043,           0.0060043
                   2,            0.027417,            0.016976,            0.002815,             0.93369,             0.95715,              0.9718,             0.72493,             0.02792,           0.0086804,           0.0028739,           0.0080444,           0.0080179,           0.0080179
                   3,            0.028346,            0.017521,           0.0031637,             0.93868,             0.94723,             0.97118,             0.70151,            0.027757,             0.00852,           0.0019536,             0.00703,             0.00703,             0.00703
                   4,            0.027955,            0.017352,           0.0029744,             0.94993,             0.95719,             0.97403,             0.72035,            0.026802,           0.0086031,            0.002756,             0.00703,             0.00703,             0.00703
                   5,            0.027072,             0.01706,           0.0026872,             0.93148,             0.95706,             0.97613,             0.73402,            0.026193,           0.0083166,            0.002397,             0.00604,             0.00604,             0.00604
                   6,            0.025791,            0.016597,           0.0024879,             0.95532,             0.96065,             0.97789,             0.72928,            0.026037,           0.0081724,            0.002011,             0.00505,             0.00505,             0.00505
                   7,             0.02495,            0.016388,           0.0021262,             0.95908,             0.96378,             0.97805,              0.7656,            0.024841,           0.0080432,           0.0016034,             0.00406,             0.00406,             0.00406
                   8,            0.023876,            0.015581,             0.00201,              0.9492,             0.96797,             0.97908,             0.75886,            0.024817,            0.008039,           0.0014507,             0.00307,             0.00307,             0.00307
                   9,            0.022843,            0.015304,           0.0016707,             0.96069,             0.95672,             0.97779,             0.76212,            0.025016,           0.0080643,           0.0010582,             0.00208,             0.00208,             0.00208
